GivenName,Surname,NationalID,Birthday,Gender,Age,StreetAddress,City,ZipCode,CountryFull,TelephoneNumber,EmailAddress,Occupation
Rebeca,Rodrigues,226.052.106-18,9/7/1975,female,42,"Quadra Vinte e Quatro 567",Marabá,68506-240,Brazil,"(94) 6136-5706",RebecaCostaRodrigues@einrot.com,"Guitar repairer"
Vinícius,Fernandes,132.736.746-79,3/2/1969,male,49,"Rua Doutor Alberto Seabra 713","São Paulo",05452-001,Brazil,"(11) 4309-4656",ViniciusAlvesFernandes@dayrep.com,"Bus dispatcher"
Beatrice,Carvalho,548.827.386-78,12/18/1996,female,21,"Rua dos Amapenses 1715",Itapevi,06663-530,Brazil,"(11) 9251-3097",BeatriceCavalcantiCarvalho@cuvox.de,"Sports instructor"
Giovana,Gomes,548.998.985-84,9/14/1972,female,45,"Rua Jacob de Almeida 1997","São José dos Campos",12234-500,Brazil,"(12) 6213-7082",GiovanaCorreiaGomes@jourrapide.com,"Nurse specialist"
Murilo,Alves,787.830.145-00,7/3/1981,male,36,"Quadra Quadra 315 772",Luziânia,72821-440,Brazil,"(61) 4471-6810",MuriloGoncalvesAlves@jourrapide.com,"Elevator inspector"
Vinícius,Costa,905.769.915-03,12/9/1992,male,25,"Rua Ministro Alcides Carneiro 40","São Paulo",03938-020,Brazil,"(11) 8427-6901",ViniciusMartinsCosta@einrot.com,"Insurance broker"
Douglas,Costa,352.837.327-03,9/9/1970,male,47,"Rua Manoel Alexandre Araújo 342",Recife,52171-420,Brazil,"(81) 6651-7921",DouglasSantosCosta@superrito.com,"LAN manager"
Joao,Almeida,709.408.531-16,9/22/1982,male,35,"Rua Domingos Ricaldoni 1049","Belo Horizonte",30530-035,Brazil,"(31) 7035-3746",JoaoLimaAlmeida@armyspy.com,"Refractory mason"
Gustavo,Correia,287.227.486-36,1/8/1994,male,24,"Rua John Lennon 1079",Londrina,86082-116,Brazil,"(43) 4888-6522",GustavoOliveiraCorreia@fleckens.hu,"Vice president"
Erick,Goncalves,852.912.595-90,3/4/1968,male,50,"Rua Regina Mestre Alonso 454","São Paulo",04830-360,Brazil,"(11) 2189-5516",ErickMartinsGoncalves@gustr.com,EMT
Luiz,Souza,905.593.035-05,12/22/1971,male,46,"Rua Vinte de Abril 1667","Rio de Janeiro",20231-020,Brazil,"(21) 7368-5003",LuizCostaSouza@gustr.com,"Electrical and electronics repairer"
Vitória,Santos,856.527.782-88,5/12/1968,female,50,"Rua General Ozorio 1712","Laranjeiras do Sul",85304-550,Brazil,"(42) 5292-4666",VitoriaFerreiraSantos@cuvox.de,Manufacturers
Marcos,Martins,883.529.505-09,11/5/1975,male,42,"3ª Travessa Padre João Maria 1817",Natal,59072-463,Brazil,"(84) 7867-6902",MarcosLimaMartins@gustr.com,"Garment presser"
Danilo,Castro,331.490.310-36,12/11/1971,male,46,"Rua Jofre Maia 1540",Manaus,69053-200,Brazil,"(92) 7682-8321",DaniloRochaCastro@teleworm.us,"Line cook"
Luiz,Azevedo,431.851.980-50,5/20/1989,male,29,"Travessa Professora Lídia Clemente 1722","São Paulo",02031-045,Brazil,"(11) 4957-2461",LuizAlmeidaAzevedo@rhyta.com,"Title abstractor"
Leila,Oliveira,941.547.222-71,4/8/1999,female,19,"Rua Ari Dória 1819","Santo André",09182-180,Brazil,"(11) 5559-3289",LeilaRibeiroOliveira@jourrapide.com,"Cooling and freezing equipment operator"
Breno,Correia,657.970.164-19,4/7/1970,male,48,"Rua dos Álamos 1210","Campo Grande",79040-700,Brazil,"(67) 2066-2786",BrenoMeloCorreia@einrot.com,"Preschool teacher"
Ágatha,Oliveira,708.330.526-91,1/11/1989,female,29,"Rua Marquês de Herval 337",Santos,11010-310,Brazil,"(11) 6908-2733",AgathaCorreiaOliveira@fleckens.hu,"Diesel service mechanic"
Danilo,Castro,436.601.064-02,12/3/1972,male,45,"Rua Foz do Iguaçu 596",Colombo,83410-240,Brazil,"(41) 2356-3978",DaniloLimaCastro@dayrep.com,"System operator"
André,Silva,937.163.486-35,12/29/1983,male,34,"Alameda dos Contos Fluminenses 151",Itu,13306-512,Brazil,"(11) 4153-5147",AndreAraujoSilva@jourrapide.com,"Staff manager"
Kauê,Alves,157.589.048-80,12/15/1993,male,24,"Travessa Washington Luiz 1386",Suzano,08675-050,Brazil,"(11) 3915-2100",KaueCastroAlves@rhyta.com,"Telecommunications service technician"
Cauã,Melo,824.264.528-03,3/7/1999,male,19,"Quadra 806 Sul Alameda 11 505",Palmas,77023-090,Brazil,"(63) 5514-4915",CauaSantosMelo@superrito.com,"Human resources associate"
Larissa,Lima,676.257.730-00,7/9/1983,female,34,"Alameda Gabriel 1331",Belém,66050-760,Brazil,"(91) 7151-4042",LarissaBarrosLima@dayrep.com,Checker
Giovanna,Ferreira,541.391.890-96,3/17/1973,female,45,"Acesso Dezoito 718","Porto Alegre",90245-511,Brazil,"(51) 9621-8099",GiovannaSilvaFerreira@jourrapide.com,"Cost consultant"
Estevan,Santos,554.829.684-13,9/2/1985,male,32,"Rua Marrocos 316",Paulista,53431-070,Brazil,"(81) 5930-8818",EstevanBarbosaSantos@fleckens.hu,"School superintendent"
Renan,Pinto,625.763.617-57,9/24/1976,male,41,"Rua Ministro Viriato Vargas 1321","Rio de Janeiro",20531-050,Brazil,"(21) 9102-4950",RenanSousaPinto@einrot.com,"Ophthalmic medical assistant"
Felipe,Sousa,875.804.257-18,5/29/1994,male,24,"Rua Retiro da Saudade 729","São Gonçalo",24750-225,Brazil,"(21) 5323-4089",FelipeCorreiaSousa@dayrep.com,"Science writer"
Davi,Barbosa,784.471.855-24,11/2/1998,male,19,"Viela Piuva 878","Mogi das Cruzes",08760-230,Brazil,"(11) 5046-5077",DaviCarvalhoBarbosa@rhyta.com,"Coin, vending, and amusement machine servicer"
Vinicius,Rodrigues,528.641.884-81,1/27/1970,male,48,"Rua Guaicara 147","Campo Grande",79115-760,Brazil,"(67) 8321-4062",ViniciusFernandesRodrigues@teleworm.us,"Outdoor power equipment mechanic"
Larissa,Gomes,890.184.129-02,4/9/1983,female,35,"Rua Santo Inácio de Loyola 351",Cambé,86183-290,Brazil,"(43) 6236-9743",LarissaSantosGomes@dayrep.com,"Criminal lawyer"
Bianca,Cardoso,905.512.323-40,10/29/1986,female,31,"Avenida da Redenção 426",Petrolina,56321-440,Brazil,"(87) 9795-4948",BiancaAlmeidaCardoso@rhyta.com,"Control room operator"
Matheus,Araujo,949.006.990-63,6/8/1979,male,39,"Rua Raul Pompéia 792",Sorocaba,18044-020,Brazil,"(15) 4041-5896",MatheusGomesAraujo@jourrapide.com,"Library aide"
Bianca,Azevedo,959.975.448-42,5/28/1977,female,41,"Rua Professora Yolanda Prado Barreto 1804",Limeira,13484-469,Brazil,"(19) 5249-7554",BiancaPintoAzevedo@cuvox.de,"Passenger service agent"
Evelyn,Ribeiro,356.495.059-18,1/25/1985,female,33,"Alameda Rio Vermelho 412",Goiânia,74740-270,Brazil,"(62) 8158-7946",EvelynMartinsRibeiro@armyspy.com,"Business management consultant"
Matilde,Dias,811.376.280-90,7/23/1986,female,31,"Rua Claudiomar Gonçalves 485",Apucarana,86806-020,Brazil,"(43) 2380-4693",MatildeCorreiaDias@rhyta.com,"Ambulatory care nurse"
Livia,Costa,781.422.558-20,8/27/1985,female,32,"Caminho Santo Antônio da Bica 1114","Rio de Janeiro",23020-390,Brazil,"(21) 6900-5440",LiviaRodriguesCosta@superrito.com,"Personnel director"
Enzo,Barros,941.709.900-05,12/24/1984,male,33,"Travessa José Alencar Horta 162","São Paulo",02311-220,Brazil,"(11) 5642-9940",EnzoFerreiraBarros@cuvox.de,"Nurse practitioner"
Matilde,Martins,484.831.249-39,11/5/1976,female,41,"Rua Dom Manoel 1357","Cabo Frio",28910-100,Brazil,"(22) 2495-6387",MatildeDiasMartins@jourrapide.com,"Foot specialist"
Júlio,Pereira,116.559.690-30,10/24/1997,male,20,"Rua Benjamim de Oliveira 29","São Paulo",03006-020,Brazil,"(11) 4787-4325",JulioAlmeidaPereira@teleworm.us,"Payroll assistant"
João,Ribeiro,112.770.413-34,4/19/1998,male,20,"Rua Professor Pirajá da Silva 920",Santos,11035-200,Brazil,"(11) 4111-8006",JoaoDiasRibeiro@dayrep.com,"Meat packer"
Melissa,Barbosa,661.652.567-83,1/23/1982,female,36,"Rua Alto Juruá 750",Bauru,17060-170,Brazil,"(14) 2862-5276",MelissaSousaBarbosa@fleckens.hu,"Employment clerk"
Rafaela,Oliveira,212.502.578-75,11/30/1981,female,36,"Rua Porto Alegre 4","São Leopoldo",93115-300,Brazil,"(51) 9452-7565",RafaelaAraujoOliveira@fleckens.hu,"Lens grinder"
Melissa,Gomes,830.932.154-63,3/2/1983,female,35,"Rua Santo Anastácio 924",Recife,52070-510,Brazil,"(81) 2990-8036",MelissaLimaGomes@fleckens.hu,Electrologist
Enzo,Fernandes,341.971.145-08,1/25/1984,male,34,"Rua Quarenta 920","Ribeirão das Neves",33915-050,Brazil,"(31) 9192-9330",EnzoBarrosFernandes@rhyta.com,"Office machine and cash register technician"
Martim,Dias,938.399.804-02,4/15/1995,male,23,"Quadra 1103 Sul Alameda 30 1682",Palmas,77019-064,Brazil,"(63) 5487-3314",MartimCastroDias@teleworm.us,"Surfacing equipment operator"
Cauã,Oliveira,600.708.334-94,10/21/1994,male,23,"Avenida Beira Mar 987",Fortaleza,60060-610,Brazil,"(85) 2187-4078",CauaPintoOliveira@cuvox.de,"Boat operator"
Thaís,Carvalho,695.763.220-22,4/11/1977,female,41,"Estrada Velha do Calhau 2","São Luís",65072-130,Brazil,"(98) 3375-8926",ThaisCardosoCarvalho@cuvox.de,Bookbinder
Eduarda,Lima,790.628.088-16,2/22/1970,female,48,"Rua Rafael Puchetti 604","São José dos Pinhais",83020-330,Brazil,"(41) 7835-4920",EduardaCastroLima@armyspy.com,Plasterer
Lara,Gomes,425.174.377-69,4/13/1993,female,25,"Travessa Zeca Montandon 110",Araxá,38183-104,Brazil,"(34) 5061-6423",LaraCunhaGomes@gustr.com,Shampooer
Matheus,Oliveira,961.226.784-73,11/3/1970,male,47,"Estrada Santa Brígida 417",Itapevi,06695-426,Brazil,"(11) 6162-3106",MatheusAraujoOliveira@gustr.com,"PBX repairer"
Sarah,Santos,388.526.597-49,10/19/1980,female,37,"Rua Sá Andrade 1951","Santa Rita",58302-515,Brazil,"(83) 4440-3846",SarahLimaSantos@cuvox.de,"Reservation agent"
Kauã,Barros,797.608.279-56,6/4/1983,male,35,"Rua Pará 1491","Belford Roxo",26170-370,Brazil,"(21) 7963-5619",KauaCastroBarros@fleckens.hu,"Technical sales support worker"
Kaua,Lima,377.769.827-09,6/16/1988,male,30,"Rua Sabara 1626","Itapecerica da Serra",06867-580,Brazil,"(11) 8519-9237",KauaOliveiraLima@gustr.com,"Public health dietitian"
Lavinia,Souza,241.875.136-80,3/8/1979,female,39,"Rua dos Eucaliptos 627",Goiânia,74680-170,Brazil,"(62) 7157-2264",LaviniaAzevedoSouza@teleworm.us,"Systems software engineer"
Nicole,Silva,684.217.517-86,7/31/1968,female,49,"Viela Seis 1409","Franco da Rocha",07859-070,Brazil,"(11) 2041-2304",NicoleGomesSilva@teleworm.us,Prosthodontist
Leila,Souza,828.676.075-15,9/13/1975,female,42,"Rua Otávio Afonso da Silva 1871",Curitiba,81925-596,Brazil,"(41) 8133-2500",LeilaAzevedoSouza@superrito.com,"Real property assessor"
José,Barros,970.579.885-08,1/5/1973,male,45,"Praça Doutor Joaquim Miguel Ribeiro Lisboa 184","Ribeirão Preto",14076-009,Brazil,"(16) 8432-2100",JoseCardosoBarros@dayrep.com,Steamfitter
Brenda,Goncalves,803.818.470-04,9/16/1973,female,44,"Rua Paulo Peixoto 1704","São Paulo",02355-150,Brazil,"(11) 6120-3683",BrendaCostaGoncalves@einrot.com,"Kindergarten teacher"
Alex,Alves,670.029.656-03,2/10/1998,male,20,"Rua Edmar Colini Ferreira 160","Belo Horizonte",31655-510,Brazil,"(31) 9138-8241",AlexOliveiraAlves@einrot.com,"Home health aide"
Marina,Cunha,727.852.694-97,12/14/1971,female,46,"Servidão Manoel Carreiro Sobrinho 218",Teresópolis,25965-223,Brazil,"(21) 3844-8076",MarinaLimaCunha@jourrapide.com,"Parking lot attendant"
Emily,Goncalves,952.634.474-00,9/27/1989,female,28,"Rua Coronel Manuel Teodoro Azambuja 889","São Paulo",08225-130,Brazil,"(11) 4583-3724",EmilyRochaGoncalves@dayrep.com,"Payroll specialist"
Luana,Souza,126.264.793-22,9/18/1992,female,25,"Rua Melindrosas 1938",Recife,50610-470,Brazil,"(81) 9708-8014",LuanaCastroSouza@teleworm.us,"Keypunch operator"
Enzo,Souza,346.440.666-05,9/2/1984,male,33,"Rua Cabo José Gomes de Barros 1749","São Paulo",03977-060,Brazil,"(11) 7436-9011",EnzoCostaSouza@rhyta.com,"Personal attendant"
Alex,Azevedo,901.743.310-88,10/10/1990,male,27,"Rua Manoel de Seixas Queiroz 1669",Campinas,13045-350,Brazil,"(19) 3937-9493",AlexCunhaAzevedo@cuvox.de,"Mail handler"
Isabelle,Castro,188.686.777-17,5/22/1973,female,45,"Rua Doutor Afonso da Silva Brandão 688","Bragança Paulista",12922-290,Brazil,"(11) 6431-4993",IsabelleSousaCastro@rhyta.com,"Metal-refining furnace tender"
Matilde,Correia,806.368.731-02,8/16/1968,female,49,"Quadra ADE - Centro Norte Quadra 01 Conjunto A 42",Ceilândia,72237-110,Brazil,"(61) 6893-9177",MatildeDiasCorreia@gustr.com,"School teacher"
Vitória,Martins,746.902.018-70,7/8/1991,female,26,"Rua Interna-B 688",Contagem,32010-475,Brazil,"(31) 3254-2149",VitoriaAlvesMartins@gustr.com,"Rehabilitation counselor"
Lara,Azevedo,467.472.810-04,12/28/1988,female,29,"Rua Osório Duque Estrada 329","São Gonçalo",24422-295,Brazil,"(21) 2529-5019",LaraMeloAzevedo@fleckens.hu,"Dental ceramist"
Fernanda,Souza,462.925.525-78,10/21/1985,female,32,"Rua Maranduba 1893","São Paulo",04108-070,Brazil,"(11) 4189-8350",FernandaCavalcantiSouza@cuvox.de,"Employment interviewer"
Eduardo,Barros,463.361.705-27,3/13/1979,male,39,"Rua Guabiroba 1802","Foz do Iguaçu",85857-140,Brazil,"(45) 8352-6131",EduardoOliveiraBarros@superrito.com,"Fitness trainer"
Ana,Pereira,973.470.693-43,6/8/1984,female,34,"Rua Doutor Roberto Andraus 1190","São Vicente",11350-090,Brazil,"(11) 3483-4710",AnaCorreiaPereira@teleworm.us,"ENG operator"
Miguel,Santos,594.440.064-17,5/24/1975,male,43,"Rua Coronel Leão Pio de Freitas 1840",Matão,15997-010,Brazil,"(16) 4561-7874",MiguelPintoSantos@einrot.com,"Legal secretary"
Anna,Rodrigues,677.012.060-78,12/20/1981,female,36,"Servidão Isolina Maria Machado 1430",Florianópolis,88052-205,Brazil,"(48) 4171-9435",AnnaBarbosaRodrigues@jourrapide.com,"Tow truck dispatcher"
Igor,Rocha,943.177.243-40,9/25/1982,male,35,"Rua Antonio Prezzoto 894","Santa Bárbara D'Oeste",13450-313,Brazil,"(19) 6972-4608",IgorAzevedoRocha@fleckens.hu,Glazier
Douglas,Pinto,940.047.024-02,7/4/1991,male,26,"Rua Senhor do Bonfim 130","Juazeiro do Norte",63050-730,Brazil,"(88) 9247-3803",DouglasBarrosPinto@armyspy.com,"Poultry trimmer"
Anna,Azevedo,932.009.372-54,1/24/1998,female,20,"Rua Deputado Pedro Falcão 1227",Recife,50870-210,Brazil,"(81) 9431-5412",AnnaSouzaAzevedo@cuvox.de,"Payroll coordinator"
Julieta,Sousa,614.695.269-99,4/8/1992,female,26,"Rua Angico 1789","Coronel Fabriciano",35171-161,Brazil,"(31) 6964-3804",JulietaPintoSousa@fleckens.hu,"Database administrator"
Beatriz,Rocha,369.908.231-86,1/23/1993,female,25,"Avenida Capitão Alberto Mendes Júnior 1436",Jaboticabal,14890-026,Brazil,"(16) 6654-3988",BeatrizFernandesRocha@armyspy.com,"Business office manager"
Marisa,Barbosa,821.782.619-65,2/25/1986,female,32,"Estrada da Cachoeira 1081","São Paulo",02814-090,Brazil,"(11) 6449-5094",MarisaRibeiroBarbosa@jourrapide.com,Biochemist
Ágatha,Barros,840.252.454-00,2/4/1983,female,35,"Rua Gilberto Freire 478","São Caetano do Sul",09581-510,Brazil,"(11) 8397-9940",AgathaPintoBarros@jourrapide.com,"Range scientist"
Brenda,Castro,346.851.583-93,10/15/1988,female,29,"Rua Soraya Ramires Almeida 981",Maceió,57038-100,Brazil,"(82) 9603-9481",BrendaBarbosaCastro@teleworm.us,"Employment, recruitment, and placement specialist"
Eduardo,Rocha,723.502.298-15,2/4/1970,male,48,"Rua Domiciano Pimenta 385","Montes Claros",39401-051,Brazil,"(38) 2924-7985",EduardoFerreiraRocha@dayrep.com,"Social work policy maker"
Isabela,Costa,248.310.378-26,3/9/1968,female,50,"Avenida Amazônia 1199",Marabá,68502-090,Brazil,"(94) 4150-9792",IsabelaCastroCosta@jourrapide.com,"Bonus clerk"
Vinicius,Barros,635.320.214-80,9/12/1974,male,43,"Rua Xingu 847","Nova Friburgo",28620-310,Brazil,"(22) 7003-7225",ViniciusRochaBarros@superrito.com,"Social work policy maker"
Giovana,Carvalho,117.273.351-12,1/16/1978,female,40,"Avenida Manoel Severino de Castro 1566",Caraguatatuba,11670-000,Brazil,"(12) 7760-2243",GiovanaGomesCarvalho@superrito.com,"Payroll coordinator"
Mateus,Barbosa,248.874.269-41,2/4/1974,male,44,"Rua Rita Corrêa da Silva Murad 516",Araraquara,14804-182,Brazil,"(16) 4061-5670",MateusGomesBarbosa@teleworm.us,"Interior designer"
Murilo,Barbosa,181.302.632-70,3/21/1989,male,29,"Rua Quatro 1858",Sorocaba,18071-314,Brazil,"(15) 6586-5164",MuriloGomesBarbosa@teleworm.us,"Vascular sonographer"
Julieta,Barros,614.426.559-76,3/5/1988,female,30,"Quadra QR 506 Conjunto 02 68",Samambaia,72312-102,Brazil,"(61) 6066-2126",JulietaSilvaBarros@teleworm.us,Captain
Luana,Gomes,876.435.421-04,9/27/1984,female,33,"Rua Luiz Gonzaga Ferreira Lanfredi 1809",Caçapava,12285-220,Brazil,"(12) 8038-2094",LuanaCavalcantiGomes@dayrep.com,"Athletic director"
Maria,Sousa,936.935.702-56,5/10/1987,female,31,"Rua Professor Fausto Gabrielli 1103",Araraquara,14806-735,Brazil,"(16) 8575-4802",MariaCostaSousa@gustr.com,Tailor
Isabelle,Santos,759.037.384-27,7/19/1970,female,47,"Rua dos Jesuitas 1232",Contagem,32240-500,Brazil,"(31) 8011-7823",IsabelleAraujoSantos@armyspy.com,Maid
Larissa,Alves,196.130.034-60,11/8/1991,female,26,"Rua Epitácio Cafeteira II 1469","São Luís",65041-795,Brazil,"(98) 2461-5844",LarissaBarbosaAlves@teleworm.us,"Fund manager"
Larissa,Goncalves,825.696.343-36,5/31/1987,female,31,"Rua Subragi 1560","São Paulo",08223-365,Brazil,"(11) 7654-2947",LarissaRibeiroGoncalves@armyspy.com,Athlete
Laura,Barros,651.953.745-46,1/5/1976,female,42,"Rua Pau Brasil 798",Maracanaú,61933-100,Brazil,"(85) 6229-2246",LauraAzevedoBarros@teleworm.us,Cadet
Manuela,Barbosa,244.044.249-65,1/15/1970,female,48,"Rua Almirante Barroso 204",Salvador,41950-350,Brazil,"(71) 8415-4128",ManuelaMartinsBarbosa@jourrapide.com,Secretary
Fábio,Alves,655.409.977-86,4/17/1973,male,45,"Avenida Alfredo Nasser 1581",Araguaína,77815-330,Brazil,"(63) 8892-3906",FabioRibeiroAlves@fleckens.hu,Interviewer
Bruno,Dias,104.505.812-25,8/13/1990,male,27,"Rua Dezessete 1275",Serra,29168-308,Brazil,"(27) 3742-7774",BrunoBarrosDias@einrot.com,Arborist
Felipe,Oliveira,612.073.336-11,9/16/1980,male,37,"Rua Doutor Heitor Ferreira Prestes 1895",Sorocaba,18078-365,Brazil,"(15) 2751-8789",FelipeCastroOliveira@dayrep.com,"Organizational development consultant"
Kauã,Cunha,782.855.036-74,7/3/1968,male,49,"Rua Bandeirantes 1867",Araçatuba,16015-437,Brazil,"(18) 9136-7061",KauaRodriguesCunha@einrot.com,"School social worker"
Laura,Ribeiro,807.146.320-58,2/6/1974,female,44,"Quadra QNN 20 Conjunto G 602",Ceilândia,72220-207,Brazil,"(61) 4450-9833",LauraOliveiraRibeiro@einrot.com,"Customer services manager"
Eduarda,Cardoso,979.844.986-01,12/11/1981,female,36,"Rua Pigmatita 1627","Belo Horizonte",30770-170,Brazil,"(31) 4196-8545",EduardaCorreiaCardoso@teleworm.us,"Team assembler"
Eduarda,Oliveira,226.824.325-73,1/15/1989,female,29,"Travessa Catende 1045",Cuiabá,78085-455,Brazil,"(65) 3431-3409",EduardaPintoOliveira@superrito.com,"Family services social worker"
Otávio,Araujo,204.229.007-61,3/7/1995,male,23,"Travessa Costa Mendes 1903","Rio de Janeiro",21060-660,Brazil,"(21) 4879-2263",OtavioSouzaAraujo@gustr.com,"Cardiology technologist"
Eduarda,Santos,463.742.594-83,12/28/1970,female,47,"Rua G 1212","Juiz de Fora",36085-766,Brazil,"(32) 5036-9129",EduardaCardosoSantos@superrito.com,"Computer operator"
Gabriela,Pinto,733.403.927-06,5/7/1971,female,47,"Rua João José do Nascimento 1519","São José dos Campos",12211-330,Brazil,"(12) 2731-2666",GabrielaCunhaPinto@superrito.com,"Costume designer"
Alice,Barros,545.939.993-91,6/20/1983,female,35,"Rua Nove 954",Sumaré,13176-308,Brazil,"(19) 3153-6432",AliceRochaBarros@superrito.com,"Housekeeping cleaner"
João,Correia,350.737.653-97,11/4/1968,male,49,"Beco Café 1457",Betim,32664-450,Brazil,"(31) 4311-8112",JoaoCastroCorreia@teleworm.us,"Rail transportation occupation"
Cauã,Araujo,539.288.094-07,3/9/1995,male,23,"Rua do Antiquário 84","Santana de Parnaíba",06532-110,Brazil,"(11) 4652-2933",CauaCardosoAraujo@jourrapide.com,"Game warden"
Ágatha,Cavalcanti,566.124.337-52,9/7/1967,female,50,"Rua Humberto Bergamaschi 1508",Araçatuba,16075-255,Brazil,"(18) 6691-9737",AgathaMartinsCavalcanti@teleworm.us,"News vendor"
Joao,Costa,299.259.140-86,11/24/1997,male,20,"Rua C 407","Montes Claros",39404-049,Brazil,"(38) 9433-4738",JoaoPintoCosta@teleworm.us,"Developmental disabilities nurse"
Breno,Pereira,708.263.494-39,10/1/1997,male,20,"Avenida Suécia 1745",Uberlândia,38405-014,Brazil,"(34) 4602-5610",BrenoCorreiaPereira@gustr.com,"Heat treating equipment setter"
Júlia,Castro,801.346.818-60,11/11/1990,female,27,"Rua 34 637",Araguaína,77815-530,Brazil,"(63) 7123-6064",JuliaFernandesCastro@gustr.com,"Placement officer"
Lucas,Goncalves,378.366.558-22,4/16/1996,male,22,"Rua Dely Tabchoury 1632",Taubaté,12040-500,Brazil,"(12) 4886-8001",LucasSantosGoncalves@dayrep.com,"Real estate sales agent"
Matheus,Silva,492.614.514-62,9/3/1991,male,26,"Rua Moacir 521","Duque de Caxias",25245-660,Brazil,"(21) 5584-8105",MatheusCavalcantiSilva@jourrapide.com,"Pharmacy aide"
Murilo,Fernandes,347.999.033-90,11/21/1971,male,46,"Rua Capitão José Inácio 1663","Santa Rita",58301-530,Brazil,"(83) 7237-5893",MuriloCastroFernandes@fleckens.hu,"Material distribution"
Julia,Pereira,858.330.154-99,8/23/1985,female,32,"Rua José Clemente Hotmeister 1568",Mesquita,26582-190,Brazil,"(21) 3024-4144",JuliaCavalcantiPereira@fleckens.hu,"Automotive body repairer"
Tiago,Oliveira,493.599.621-80,2/10/1972,male,46,"Rua Antonieta Gonçalves Pessini 382","Cachoeiro de Itapemirim",29304-630,Brazil,"(28) 3844-8349",TiagoRodriguesOliveira@cuvox.de,"Substance abuse social worker"
Emily,Araujo,404.942.994-28,1/4/1981,female,37,"Rua Central 620",Contagem,32187-350,Brazil,"(31) 2774-7789",EmilyGoncalvesAraujo@armyspy.com,"Private household cook"
Carlos,Almeida,266.117.357-98,9/5/1979,male,38,"Praça Filomena Borges 127","São Luís",65050-840,Brazil,"(98) 8223-3412",CarlosSilvaAlmeida@dayrep.com,"Mechanical door repairer"
Luana,Carvalho,525.777.155-10,4/29/1981,female,37,"Travessa São Pedro 509","Rio de Janeiro",21236-490,Brazil,"(21) 7543-5255",LuanaGomesCarvalho@rhyta.com,Assembler
Beatriz,Barbosa,492.312.851-81,8/6/1981,female,36,"Rua O 1220","Montes Claros",39404-111,Brazil,"(38) 9943-3454",BeatrizMeloBarbosa@superrito.com,"Sound engineering technician"
